entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Hour,Weekday,MonthNum,Month,Outcome,__kind
2022-12-13 13:26,3165.764046690515,1819.937670466905,long,2022-12-13 13:26:00,2022-12-13,3166,1851,13,Tuesday,12,December,win,top_winner
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,1578,13,Wednesday,10,October,win,top_winner
2018-02-14 13:57,1812.8352227347928,1346.419352227348,long,2018-02-14 13:57:00,2018-02-14,1813,678,13,Wednesday,2,February,win,top_winner
2016-02-24 13:24,1146.3699573022268,1249.7416995730223,long,2016-02-24 13:24:00,2016-02-24,1146,202,13,Wednesday,2,February,win,top_winner
2024-10-01 13:26,1040.1340419563894,2662.881320419564,long,2024-10-01 13:26:00,2024-10-01,1040,2271,13,Tuesday,10,October,win,top_winner
2024-12-03 13:16,698.243877477671,2650.3823387747766,long,2024-12-03 13:16:00,2024-12-03,698,2318,13,Tuesday,12,December,win,top_winner
2016-12-07 13:51,394.3065845581032,1177.581065845581,long,2016-12-07 13:51:00,2016-12-07,394,365,13,Wednesday,12,December,win,top_winner
2022-02-08 13:10,280.8390407334855,1821.9183804073348,long,2022-02-08 13:10:00,2022-02-08,281,1665,13,Tuesday,2,February,win,top_winner
2023-12-20 13:49,232.51130850633217,2036.5851230850635,long,2023-12-20 13:49:00,2023-12-20,233,2101,13,Wednesday,12,December,win,top_winner
2019-12-18 13:59,189.39044686142097,1474.2089044686145,long,2019-12-18 13:59:00,2019-12-18,189,1131,13,Wednesday,12,December,win,top_winner
2025-02-19 13:10,-317.06473659528456,2937.629402634047,long,2025-02-19 13:10:00,2025-02-19,-317,2377,13,Wednesday,2,February,loss,top_loser
2024-12-11 13:03,-229.39186729172437,2695.2261013270827,long,2024-12-11 13:03:00,2024-12-11,-229,2323,13,Wednesday,12,December,loss,top_loser
2023-02-01 13:49,-226.90669650980908,1928.200903034902,long,2023-02-01 13:49:00,2023-02-01,-227,1885,13,Wednesday,2,February,loss,top_loser
2020-12-16 13:12,-224.21098636013997,1857.1779301363983,long,2020-12-16 13:12:00,2020-12-16,-224,1396,13,Wednesday,12,December,loss,top_loser
2015-10-07 13:40,-219.22134988753896,1145.3567865011246,long,2015-10-07 13:40:00,2015-10-07,-219,113,13,Wednesday,10,October,loss,top_loser
2021-12-21 13:23,-186.842084057912,1797.671619159421,long,2021-12-21 13:23:00,2021-12-21,-187,1632,13,Tuesday,12,December,loss,top_loser
2016-02-03 13:22,-185.25323180776925,1129.0394676819224,long,2016-02-03 13:22:00,2016-02-03,-185,179,13,Wednesday,2,February,loss,top_loser
2015-12-09 13:09,-170.12418650608652,1078.196758134939,long,2015-12-09 13:09:00,2015-12-09,-170,152,13,Wednesday,12,December,loss,top_loser
2020-02-19 13:29,-149.89873489030288,1606.199012651097,long,2020-02-19 13:29:00,2020-02-19,-150,1179,13,Wednesday,2,February,loss,top_loser
2023-10-25 13:50,-143.96083969418214,1981.660367603058,long,2023-10-25 13:50:00,2023-10-25,-144,2056,13,Wednesday,10,October,loss,top_loser
